ticket_id,created_at,resolved_at,status,priority,category,environment,assignee,reporter,team,department_requester,tag,sla_target_hours,resolution_hours,sla_breached,satisfaction_score,story_points,reopen_count,is_escalated,sprint
TKT-93810,2025-02-27 00:47,2025-02-27 06:47,Done,Low,Task,Staging,Tatiane Gomes,Karen Azevedo,QA Team,Comercial,backend,72,6,Não,,8,0,Não,Sprint 1
TKT-30926,2025-12-24 13:21,2025-12-24 23:21,In Review,High,Change Request,Production,Mateus Oliveira,Isabel Freitas,QA Team,Marketing,frontend,8,10,Sim,,,0,Não,
TKT-16006,2025-12-05 07:49,2025-12-05 11:49,Done,Low,Security,Production,Pedro Henrique,Isabel Freitas,Squad Gamma,Comercial,integração,72,4,Não,,3,0,Não,Sprint 21
TKT-83000,2025-04-23 21:20,2025-04-24 03:20,Done,Low,Security,Homologation,Mateus Oliveira,Caio Ramos,QA Team,Logística,,72,6,Não,,13,0,Não,Sprint 24
TKT-83579,2025-10-03 08:47,2025-10-03 16:47,Done,Medium,Bug,Homologation,Bruno Lima,Simone Barros,QA Team,Logística,database,24,8,Não,,,0,Não,
TKT-11504,2025-12-15 23:07,2025-12-16 06:07,Done,High,Bug,Development,Fernanda Castro,Eduardo Campos,Squad Gamma,RH,,8,7,Não,,,0,Não,Sprint 17
TKT-10074,2025-11-03 10:31,2025-11-03 19:31,Done,High,Task,Staging,Helena Pinto,Ricardo Farias,Squad Gamma,Logística,acesso,8,9,Não,,,3,Não,Sprint 17
TKT-89507,08/05/2025 06:59,2025-08-05 15:59,Done,Critical,Task,Staging,Larissa Vieira,Nelson Cardoso,Squad Gamma,TI,api,4,9,Não,,3,0,Sim,Sprint 8
TKT-18834,2025-01-17 10:04,2025-01-17 14:04,In Review,Medium,Security,Production,Renata Teixeira,Caio Ramos,Squad Alpha,TI,relatório,24,4,Não,,5,0,Não,Sprint 4
TKT-42591,2025-04-09 06:34,2025-04-10 03:34,Done,Critical,Performance,Staging,Tatiane Gomes,Olivia Vaz,Squad Gamma,Jurídico,,4,21,Sim,,,2,Não,Sprint 13
TKT-17685,2025-03-26 12:00,2025-03-27 01:00,In Review,Critical,Incident,Production,Renata Teixeira,Flávia Melo,Squad Alpha,Logística,frontend,4,13,Não,,8,0,Não,
TKT-30635,2025-01-30 16:05,2025-01-31 00:05,Cancelled,Medium,Incident,Development,Vinicius Araújo,Raquel Torres,Squad Gamma,Marketing,backend,24,8,Sim,,8,0,Não,Sprint 22
TKT-94607,06/03/2025 14:20,2025-06-03 22:20,Done,MEDIUM,Feature Request,Development,Carla Mendes,Caio Ramos,QA Team,RH,database,24,8,Sim,,,1,Não,Sprint 10
TKT-90173,2025-12-01 16:00,2025-12-01 21:00,Done,Low,Security,Development,Carla Mendes,Thiago Correia,Infra Team,Operações,performance,72,5,Não,,3,0,Não,
TKT-22097,2025-11-21 13:53,2025-11-21 18:53,In Review,Medium,Security,Staging,Igor Alves,Leonardo Brito,Squad Alpha,Marketing,relatório,24,5,Não,,1,0,Não,Sprint 5
TKT-15482,2025-06-07 11:57,2025-06-07 16:57,Done,Medium,Feature Request,Staging,Carla Mendes,Olivia Vaz,Squad Gamma,Jurídico,,24,5,Não,,8,0,Sim,
TKT-53540,2025-07-30 21:55,2025-07-31 03:55,In Review,Low,Security,Staging,Ana Souza,Débora Martins,QA Team,Marketing,acesso,72,6,Sim,,2,0,Não,Sprint 9
TKT-56025,25/11/2025 16:25,,In Progress,Low,Change Request,Production,Igor Alves,Eduardo Campos,QA Team,Comercial,performance,72,,,,13,1,Não,
TKT-10221,24/09/2025 17:43,2025-09-25 00:43,In Review,Low,Change Request,Development,Kaio Santos,Simone Barros,Squad Gamma,Comercial,mobile,72,7,Sim,,13,0,Não,
TKT-98777,2025-03-31 19:36,2025-03-31 23:36,Cancelled,High,Performance,Staging,Vinicius Araújo,Gustavo Nobre,Squad Alpha,Operações,acesso,8,4,Sim,,,0,Não,Sprint 11
TKT-22240,2025-05-01 21:19,,Not Started,Low,Change Request,Staging,Renata Teixeira,Ricardo Farias,Squad Gamma,TI,performance,72,,,,13,0,Não,
TKT-23970,2025-08-06 07:11,2025-08-06 12:11,Done,Medium,Change Request,Homologation,Pedro Henrique,Olivia Vaz,Squad Gamma,Logística,acesso,24,5,Sim,,13,1,Não,
TKT-93579,2025-05-22 16:31,2025-05-23 01:31,In Review,High,Change Request,Production,Diego Rocha,Thiago Correia,Squad Gamma,Jurídico,backend,8,9,Sim,3,3,0,Não,
TKT-12560,22/10/2025 12:30,2025-10-23 06:30,Done,Critical,Incident,Homologation,Natalia Costa,Olivia Vaz,Infra Team,TI,,4,18,Sim,,,0,Não,Sprint 13
TKT-31632,2025-08-28 04:39,2025-08-28 10:39,Done,Low,Security,Production,Pedro Henrique,João Victor,Infra Team,Comercial,relatório,72,6,Sim,4,1,0,Não,
TKT-95426,2025-01-21 00:15,2025-01-21 09:15,Done,Medium,Task,Production,Carla Mendes,Caio Ramos,Squad Gamma,Operações,mobile,24,9,Sim,,,0,Sim,Sprint 10
TKT-85470,2025-12-13 12:25,2025-12-13 19:25,Done,Medium,Bug,Development,Julia Moraes,Raquel Torres,QA Team,Marketing,,24,7,Não,,,0,Sim,Sprint 1
TKT-65057,2025-09-08 03:27,2025-09-08 13:27,Done,Critical,Bug,Development,Tatiane Gomes,Leonardo Brito,Infra Team,Comercial,performance,4,10,Não,2,2,1,Não,Sprint 22
TKT-59674,2025-06-22 00:31,,Not Started,High,Bug,Staging,Kaio Santos,Raquel Torres,QA Team,Logística,mobile,8,,,,8,2,Não,Sprint 16
TKT-94659,2025-12-31 15:28,2026-01-01 04:28,In Review,Critical,Incident,Homologation,Julia Moraes,Isabel Freitas,QA Team,Operações,autenticação,4,13,Sim,,13,0,Não,Sprint 7
TKT-51359,2025-03-03 23:34,2025-03-04 18:34,Cancelled,Critical,Incident,Staging,Vinicius Araújo,Nelson Cardoso,QA Team,TI,backend,4,19,Não,,,0,Não,Sprint 2
TKT-17146,11/10/2025 09:44,2025-11-10 14:44,Done,Low,Feature Request,Development,Renata Teixeira,Ricardo Farias,Squad Alpha,Comercial,backend,72,5,Sim,5,13,0,Sim,
